URL,Relative url,Title,Address
https://newyork.craigslist.org/brk/egr/d/brooklyn-architecture-project-manager/7116451029.html,https://newyork.craigslist.org/brk/egr/d/brooklyn-architecture-project-manager/7116451029.html,Architecture Project Manager - Chango & Co.,"Williamsburg, Brooklyn"
https://newyork.craigslist.org/brk/egr/d/brooklyn-mid-level-junior-architect/7115825665.html,https://newyork.craigslist.org/brk/egr/d/brooklyn-mid-level-junior-architect/7115825665.html,Mid-level Junior Architect,Brooklyn
https://newyork.craigslist.org/mnh/egr/d/washington-urgent-civil-engineer/7116166264.html,https://newyork.craigslist.org/mnh/egr/d/washington-urgent-civil-engineer/7116166264.html,Urgent: Civil Engineer,"Washington, DC"
https://newyork.craigslist.org/que/egr/d/hollis-experienced-architect/7115954655.html,https://newyork.craigslist.org/que/egr/d/hollis-experienced-architect/7115954655.html,Experienced Architect/Draftsman(Part-time),Queens
https://newyork.craigslist.org/brk/egr/d/architectural-draftsperson/7115809085.html,https://newyork.craigslist.org/brk/egr/d/architectural-draftsperson/7115809085.html,Architectural Draftsperson,Brooklyn
https://newyork.craigslist.org/brk/egr/d/brooklyn-electricians-mechanics-needed/7115564585.html,https://newyork.craigslist.org/brk/egr/d/brooklyn-electricians-mechanics-needed/7115564585.html,Electricians/Mechanics Needed,
https://newyork.craigslist.org/brk/egr/d/architectural-drafter-project-manager/7115269902.html,https://newyork.craigslist.org/brk/egr/d/architectural-drafter-project-manager/7115269902.html,Architectural Drafter/  Project Manager,Brooklyn
https://newyork.craigslist.org/brx/egr/d/bronx-project-supervisor/7115007824.html,https://newyork.craigslist.org/brx/egr/d/bronx-project-supervisor/7115007824.html,Project Supervisor,bronx
https://newyork.craigslist.org/mnh/egr/d/new-york-personal-assistant-wanted/7114874886.html,https://newyork.craigslist.org/mnh/egr/d/new-york-personal-assistant-wanted/7114874886.html,personal Assistant wanted,
https://newyork.craigslist.org/brk/egr/d/brooklyn-office-expediter-dob-paperwork/7114872446.html,https://newyork.craigslist.org/brk/egr/d/brooklyn-office-expediter-dob-paperwork/7114872446.html,"Office Expediter, DOB paperwork/DOB now",Brooklyn
https://newyork.craigslist.org/mnh/egr/d/building-automation-system-bas/7113979640.html,https://newyork.craigslist.org/mnh/egr/d/building-automation-system-bas/7113979640.html,Building Automation System (BAS) Application Engineer,Midtown
https://newyork.craigslist.org/mnh/egr/d/new-york-intermediate-architect-for/7113145204.html,https://newyork.craigslist.org/mnh/egr/d/new-york-intermediate-architect-for/7113145204.html,Intermediate Architect for Luxury Residential Firm,Chelsea
https://newyork.craigslist.org/brk/egr/d/brooklyn-project-manager/7113142930.html,https://newyork.craigslist.org/brk/egr/d/brooklyn-project-manager/7113142930.html,Project Manager,BROOKLYN
https://newyork.craigslist.org/mnh/egr/d/new-york-interior-design-assistant/7112379834.html,https://newyork.craigslist.org/mnh/egr/d/new-york-interior-design-assistant/7112379834.html,Interior Design Assistant,Midtown
https://newyork.craigslist.org/mnh/egr/d/new-york-designer-architect/7111233035.html,https://newyork.craigslist.org/mnh/egr/d/new-york-designer-architect/7111233035.html,Designer/Architect,Midtown West
https://newyork.craigslist.org/mnh/egr/d/new-york-architectural-job-captain/7111225109.html,https://newyork.craigslist.org/mnh/egr/d/new-york-architectural-job-captain/7111225109.html,Architectural Job Captain,Midtown West
https://newyork.craigslist.org/mnh/egr/d/new-york-mechanical-engineer/7111003127.html,https://newyork.craigslist.org/mnh/egr/d/new-york-mechanical-engineer/7111003127.html,MECHANICAL ENGINEER,Midtown
https://newyork.craigslist.org/mnh/egr/d/new-york-nyc-expediting-permit-project/7110477238.html,https://newyork.craigslist.org/mnh/egr/d/new-york-nyc-expediting-permit-project/7110477238.html,NYC Expediting/Permit Project Manager,Financial District
https://newyork.craigslist.org/wch/egr/d/mount-vernon-office-engineer/7110353940.html,https://newyork.craigslist.org/wch/egr/d/mount-vernon-office-engineer/7110353940.html,Office Engineer,
https://newyork.craigslist.org/mnh/egr/d/new-york-personal-assistant-wanted/7109212840.html,https://newyork.craigslist.org/mnh/egr/d/new-york-personal-assistant-wanted/7109212840.html,personal Assistant wanted,
https://newyork.craigslist.org/wch/egr/d/estimator-for-masonry-work/7109175066.html,https://newyork.craigslist.org/wch/egr/d/estimator-for-masonry-work/7109175066.html,Estimator for Masonry Work,"Mount Vernon, NY"
https://newyork.craigslist.org/fct/egr/d/milford-mechanical-engineer/7108742894.html,https://newyork.craigslist.org/fct/egr/d/milford-mechanical-engineer/7108742894.html,Mechanical Engineer,Milford
https://newyork.craigslist.org/brx/egr/d/bronx-construction-project-supervisor/7108523592.html,https://newyork.craigslist.org/brx/egr/d/bronx-construction-project-supervisor/7108523592.html,Construction Project Supervisor / Field Engineer,BRONX / QUEENS / NYC
https://newyork.craigslist.org/mnh/egr/d/brooklyn-senior-quantity-surveyor/7108313650.html,https://newyork.craigslist.org/mnh/egr/d/brooklyn-senior-quantity-surveyor/7108313650.html,Senior Quantity Surveyor,New York
https://newyork.craigslist.org/mnh/egr/d/controls-instrumentation-engineer/7108247893.html,https://newyork.craigslist.org/mnh/egr/d/controls-instrumentation-engineer/7108247893.html,Controls/ Instrumentation Engineer,Midtown
https://newyork.craigslist.org/que/egr/d/project-architects/7107729508.html,https://newyork.craigslist.org/que/egr/d/project-architects/7107729508.html,Project Architect(s),"Jamaica, Queens"
https://newyork.craigslist.org/mnh/egr/d/new-york-as-built-measurementsbuilding/7107519231.html,https://newyork.craigslist.org/mnh/egr/d/new-york-as-built-measurementsbuilding/7107519231.html,As-built measurements_Building existing conditions survey,Midtown East
https://newyork.craigslist.org/stn/egr/d/staten-island-civil-engineering-firm/7107413696.html,https://newyork.craigslist.org/stn/egr/d/staten-island-civil-engineering-firm/7107413696.html,Civil Engineering Firm Offering Paid Internship,Staten Island
https://newyork.craigslist.org/mnh/egr/d/new-york-architectural-servicesnyc-dob/7107086477.html,https://newyork.craigslist.org/mnh/egr/d/new-york-architectural-servicesnyc-dob/7107086477.html,Architectural Services_NYC DOB Commercial Filing set,Midtown
https://newyork.craigslist.org/mnh/egr/d/new-york-part-time-structural-engineer/7106560528.html,https://newyork.craigslist.org/mnh/egr/d/new-york-part-time-structural-engineer/7106560528.html,Part time Structural Engineer with min 5 years design experience,NYC
https://newyork.craigslist.org/mnh/egr/d/harriman-construction-inspectors-and/7106359503.html,https://newyork.craigslist.org/mnh/egr/d/harriman-construction-inspectors-and/7106359503.html,Construction Inspectors and Office Engineer,Harriman
https://newyork.craigslist.org/mnh/egr/d/new-york-intermediate-architect-for/7106263041.html,https://newyork.craigslist.org/mnh/egr/d/new-york-intermediate-architect-for/7106263041.html,Intermediate Architect for Luxury Residential Firm,Chelsea
https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-architect-or/7105740987.html,https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-architect-or/7105740987.html,Facade / Building Envelope Architect or Engineer,TriBeCa
https://newyork.craigslist.org/mnh/egr/d/new-york-city-civil-engineers-surveyors/7104622232.html,https://newyork.craigslist.org/mnh/egr/d/new-york-city-civil-engineers-surveyors/7104622232.html,CIVIL ENGINEERS & Surveyors - All Levels,Midtown
